InputID,TargetID,Distance
542,214,44.6735461386
543,214,97.0059156968
544,2547,510.939075781
546,213,515.614695037
548,2730,747.190404896
549,2546,52.0587964848
551,214,551.513809929
552,214,223.479795349
553,2725,666.796402646
555,214,377.678857055
571,2728,54.2502558549
572,2726,202.651001121
573,2546,843.539789231
574,2546,71.0344640256
575,2726,293.57477364
576,2547,80.6632359216
577,2547,265.261027618
584,2728,180.209050633
588,2730,145.420401935
590,212,290.962089096
590,212,290.962089096
590,212,290.962089096
590,212,290.962089096
591,212,509.879779764
591,212,509.879779764
591,212,509.879779764
591,212,509.879779764
592,212,668.441793808
592,212,668.441793808
592,212,668.441793808
592,212,668.441793808
593,2730,1040.21021791
600,1016,820.32217805
601,250,222.535042919
602,2544,1332.85996281
604,2543,432.535332644
605,156,174.178610064
605,156,174.178610064
605,156,174.178610064
605,156,174.178610064
605,156,174.178610064
605,156,174.178610064
605,156,174.178610064
605,156,174.178610064
605,156,174.178610064
606,1015,1244.0127226
606,1015,1244.0127226
606,1015,1244.0127226
606,1015,1244.0127226
606,1015,1244.0127226
606,1015,1244.0127226
606,1015,1244.0127226
606,1015,1244.0127226
606,1015,1244.0127226
608,158,762.030036612
608,158,762.030036612
608,158,762.030036612
608,158,762.030036612
608,158,762.030036612
608,158,762.030036612
608,158,762.030036612
608,158,762.030036612
608,158,762.030036612
609,2641,315.885628207
610,245,605.112003376
612,156,537.403434789
612,156,537.403434789
612,156,537.403434789
612,156,537.403434789
612,156,537.403434789
612,156,537.403434789
612,156,537.403434789
612,156,537.403434789
612,156,537.403434789
613,156,143.043861596
613,156,143.043861596
613,156,143.043861596
613,156,143.043861596
613,156,143.043861596
613,156,143.043861596
613,156,143.043861596
613,156,143.043861596
613,156,143.043861596
614,157,345.844860231
615,157,191.970617958
616,158,715.942135014
616,158,715.942135014
616,158,715.942135014
616,158,715.942135014
616,158,715.942135014
616,158,715.942135014
616,158,715.942135014
616,158,715.942135014
616,158,715.942135014
617,2543,937.580159321
621,245,801.371991412
622,158,1006.72560078
622,158,1006.72560078
622,158,1006.72560078
622,158,1006.72560078
622,158,1006.72560078
622,158,1006.72560078
622,158,1006.72560078
622,158,1006.72560078
622,158,1006.72560078
623,1015,719.264823052
623,1015,719.264823052
623,1015,719.264823052
623,1015,719.264823052
623,1015,719.264823052
623,1015,719.264823052
623,1015,719.264823052
623,1015,719.264823052
623,1015,719.264823052
624,245,463.320931176
625,2543,426.311661419
626,2544,561.593188505
627,2725,1421.24890917
628,1015,927.37270023
628,1015,927.37270023
628,1015,927.37270023
628,1015,927.37270023
628,1015,927.37270023
628,1015,927.37270023
628,1015,927.37270023
628,1015,927.37270023
628,1015,927.37270023
630,250,215.985660848
631,2543,203.299439218
633,158,179.513905983
633,158,179.513905983
633,158,179.513905983
633,158,179.513905983
633,158,179.513905983
633,158,179.513905983
633,158,179.513905983
633,158,179.513905983
633,158,179.513905983
634,1016,328.485342232
635,1015,476.425135549
635,1015,476.425135549
635,1015,476.425135549
635,1015,476.425135549
635,1015,476.425135549
635,1015,476.425135549
635,1015,476.425135549
635,1015,476.425135549
635,1015,476.425135549
636,2641,557.311811521
637,2641,847.603352164
638,1015,776.209710209
638,1015,776.209710209
638,1015,776.209710209
638,1015,776.209710209
638,1015,776.209710209
638,1015,776.209710209
638,1015,776.209710209
638,1015,776.209710209
638,1015,776.209710209
639,1015,558.886748334
639,1015,558.886748334
639,1015,558.886748334
639,1015,558.886748334
