CODE, NAME, Y, X
286,"' 우성아파트 교차로'",37.494572,126.899750
287,"' 영등포전화국사거리 (서강어린이공원)'",37.525768,126.905739
289,"' 대림3동사거리'",37.499809,126.898003
291,"' 문래동 하이테크 시티'",37.513851,126.898880
292,"' 영일 어린이공원'",37.510120,126.904068
700,"' KB국민은행 염창역 지점 앞'",37.546848,126.872772
701,"' 목동사거리 부근'",37.532803,126.863930
702,"' 목4동주민센터 옆'",37.532543,126.868729
703,"' 오목교역 7번출구 앞'",37.524063,126.875580
704,"' 남부법원검찰청 교차로'",37.523254,126.864906
706,"' 신정네거리역'",37.521881,126.851753
707,"' 신정3동주민센터'",37.515156,126.854897
708,"' 서울출입국관리사무소 앞'",37.518970,126.869965
709,"' 신정3동 현장민원실 앞'",37.511585,126.841560
710,"' 서부화물트럭터미널 사거리'",37.510658,126.842537
711,"' 신일해피트리아파트 앞'",37.517059,126.848488
712,"' 강월초교입구 사거리'",37.516998,126.838318
713,"' 양서중학교 옆'",37.533047,126.829956
714,"' 한국SGI 양천문화회관 앞'",37.532547,126.830803
716,"'신정6동 주민센터 인근'",37.517281,126.864334
719,"' 홍익병원앞 교차로'",37.530369,126.864258
720,"' 서울강월초등학교 앞'",37.516197,126.834900
722,"' LG전자베스트샵 신정점 '",37.521435,126.857384
723,"' SBS방송국'",37.529163,126.872749
724,"' 계남공원 입구 주출입구 좌측'",37.510681,126.857399
725,"' 양강중학교앞 교차로'",37.524334,126.850548
726,"' 목동3단지 시내버스정류장'",37.534389,126.869598
